# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
すずは早雲を好き	Suzu is fond of Souun
溶岩風呂に居る戯骸	Gigai in the lava bath
無理矢理ついてくる	He forces his way along
戯骸とザンスと乱義	Gigai, Zance and Rangi
狂った早雲を発見	They find the maddened Souun
戦うしかない	No choice but to fight
ビンタで正気に戻す	A slap brings him back
強く落ち込む早雲	Souun sinks into despair
すずが早雲を救う	Suzu saves Souun
彼女は蘭の生まれ変わり	She is Ran reborn
死国　地下湖	Shikoku, the underground lake
金のオーブを取る	They take the gold orb
早雲とすず	Souun and Suzu
戯骸が立ち去る	Gigai walks away
悪魔ネプラカスが現れる	The demon Neplacus appears
大怪獣クエルプランを召喚	and summons the giant Quelplan
クエルプランが鬼を吸い込む	Quelplan sucks up the oni
主人公達に向かってくる	and comes at the protagonists
勝てない	They cannot win
クエルプランに吸い込まれそう	and are nearly sucked in
主人公の力でクエルプランが消える	The protagonist's power banishes it
悪魔ネプラカスが襲ってきます	The demon Neplacus attacks
そこにダークランスが助けに入る	Dark Rance steps in to help
ダークランスｖｓネプラカス	Dark Rance vs Neplacus
兄弟達とダークランスの会話	The siblings talk with Dark Rance
※恋人マリア 内容若干変化	※Lover Maria - slight changes
ＪＡＰＡＮ 野営地	JAPAN, the camp
主人公に秘められた力	The power hidden in the protagonist
そしてゼスへ向かう	and on to Zeth
異界ゲートと接触	They touch an Otherworld Gate
吸い込まれてしまう	and are sucked in
異界ポリポリワン	The other world, Polipoliwan
謎の少女に介護される	A strange girl nurses them
謎の少女はそのまま立ち去る	then walks away without a word
魔王の子ミックスと接触	They meet Mix, the King's child
母からの手紙、ミックスの事	A letter from mother, about Mix
ミックスいろいろ	This and that about Mix
キャンプで食事	A meal at camp
怪しげな扉を発見	A suspicious door is found
異空間 ミラクルの部屋	Another space: Miracle's room
ミラクル登場	Miracle appears
母と娘の喧嘩	Mother and daughter quarrel
お茶会	A tea party
ミラクルへの紹介状は…	The letter for Miracle is...
ミラクルからの情報　その１	What Miracle tells them - 1
Ａ．魔王ランスの情報	A. About Demon King Rance
Ｂ．異界の話	B. About the other worlds
Ｃ．ミラクルの年齢	C. Miracle's age
ミラクルからの情報　その２	What Miracle tells them - 2
Ａ．魔王の子達について	A. About the Demon King's children
Ｂ．ミラクルは魔王をどう思っている	B. What Miracle thinks of him
Ｃ．異性との恋愛について	C. On love and the other sex
ミラクルからの情報３	What Miracle tells them - 3
Ａ．大怪獣クエルプランについて	A. About the giant Quelplan
Ｂ．ミックスについて	B. About Mix
ミックスが仲間に加わる	Mix joins the party
戦闘終了	The battle ends
ミラクルから合格をもらう	Miracle passes them
その頃、翔竜山アメージング城	Amazing Castle on Mount Shoryu
魔人幹部達の会話	The Fiend officers talk
魔王ランスとサテラ	Demon King Rance and Satella
ミラクルとミックスの会話	Miracle and Mix talk
主人公は何か変よ、普通じゃない	The protagonist is odd, not normal
元の世界に戻り	Back in their own world
ゼスに向かって旅立つ	they set off for Zeth
キナニ砂漠	The Kinani Desert
シャングリラを目指してきた	Heading for Shangri-La
母からの６通の紹介状	Six letters of introduction
アウトバーンの説明	The Autobahn explained
松下姫と遭遇	They meet Princess Panasonic
仲間に入りました	She joins the party
大怪獣クエルプランを初見	First sight of the giant Quelplan
主人公は何か声を聞く	The protagonist hears a voice
砂漠	The desert
クエルプラン後方に悪魔発見	A demon behind Quelplan
悪魔ネプラカス強い、やばい	Neplacus is strong - this is bad
そこにダークランスが助けに現れる	Dark Rance arrives to help
ダークランスはランスの長男	Dark Rance is Rance's eldest son
話をしたくて戦闘の場所に戻るが	They go back to talk to him
もう彼らは居なくなっていた	but they are already gone
キャンプで休憩	A rest at camp
カラスに襲われる長田君	Crows go after Nagata-kun
シャングリラに到着	They reach Shangri-La
自治領主パステルと合う	They meet the lord, Pastel
紹介状を渡すが拒否される	The letter is handed over, refused
シャングリラ内	Inside Shangri-La
街中をうろつく	Wandering the streets
プルーペット商会	The Pluepet Trading Company
街中で情報集め	Asking around town
リセットに関する各種噂	All sorts of rumours about Reset
シャングリラ内　酒場	Inside Shangri-La, the tavern
夕食を楽しむ	Dinner is enjoyed
母からの手紙、リセットの事	A letter from mother, about Reset
ローブ姿の少女が接触	A girl in a robe approaches
シャングリラ　宿屋	Shangri-La, the inn
宿に泊まる	A night at the inn
警備員バイタルと会う	They meet Vital, the guard
お風呂でくつろぐ	Relaxing in the bath
志津香、ナギと出会う	They meet Shizuka and Nagi
※条件　主人公女	※Condition: protagonist female
※条件　主人公男	※Condition: protagonist male
深夜、警報が鳴り響く	Alarms ring out in the night
魔王ランスが志津香を犯す	Demon King Rance rapes Shizuka
翌日の朝	The next morning
志津香、ナギを仲間に誘う	Shizuka and Nagi are asked to join
志津香ナギと会話	A talk with Shizuka and Nagi
盗難事件が発生	A theft is reported
ロッキーが犯人として疑われる	Rocky falls under suspicion
謎の少女探偵が登場	A mystery girl detective appears
謎の少女探偵と捜査開始	The investigation begins with her
謎解きバトル　その１	Mystery battle - 1
謎解きバトル　その２	Mystery battle - 2
謎解きバトル　その３	Mystery battle - 3
捜査完了	The investigation is done
謎は解けた	The mystery is solved
関係者を集めて謎解き編	Everyone gathers for the reveal
犯人はカラスとバイタル	The culprits: a crow and Vital
少女探偵の正体はリセット	The girl detective is Reset
シャングリラ　酒場	Shangri-La, the tavern
リセットの事件解説	Reset explains the case
リセットは連れ去られる	then Reset is carried off
リセットが仲間に加わる	Reset joins the party
イージスが追撃で現れるが	Aegis appears in pursuit
素通しさせてくれる	but lets them pass
アメージング城	Amazing Castle
元に戻ったランス	Rance is himself again
シィル、クルックー、サテラ、志津香	Sill, Crook, Satella, Shizuka
などと会話	and others, in conversation
ランスが子供達と話す	Rance talks with his children
魔王ランスの今後の方針	Demon King Rance's plans
ハーレムを作るぞー	Let's build a harem!
そこにクエルプラン発生	then Quelplan turns up
クエルプランが現れた	Quelplan appears
ランスは子供達を連れて戦う	Rance fights with his children
魔王ランスがクエルプランに	Demon King Rance goes into it
クエルプラン内から	From inside Quelplan
置いてきたのは魔王の力	he left the Demon King's power
クエルプランは暴走	Quelplan runs wild
吸い込んだ余計な物を吐き出し	spits out what it swallowed
魔王の力を吸い込み始め	and starts on the King's power
魔王システムを破壊した	The Demon King System is destroyed
がはははは俺様の勝利	Gahahaha - my victory
クエルプランを抱く	He beds Quelplan
ランスとシィルはどこかに消えた	Rance and Sill vanish somewhere
主人公達は各自の家に帰る	The party all head home
実家に戻った	Home at last
大親友としばし別れ	A parting from the best friend
母と冒険の話	Telling mother about the journey
※大親友 内容若干変化	※Best friend - slight changes
神とクルックー	The god and Crook
闘神都市	The Fighting God City
ダークランスと別れる	Parting with Dark Rance
ヘルマン	Helman
レリコフ、ヒーローと別れる	Parting with Lelikov and Hero
ゼス	Zeth
スシヌ、ミックスと別れる	Parting with Sushinu and Mix
乱義、深根、元就と別れる	Parting with Rangi, Tone, Motonari
リーザス	Leazas
ザンス、ウズメと別れる	Parting with Zance and Uzume
シャングリラ	Shangri-La
リセットと別れる	Parting with Reset
志津香、ナギと別れる	Parting with Shizuka and Nagi
松下姫と別れる	Parting with Princess Panasonic
家の近くの街道	The road near home
長田君と別れる	Parting with Nagata-kun
ドッス、ワッスと別れる	Parting with Doss and Wass
ゼスに着いた	They reach Zeth
クエルプランが通過した跡地	The trail Quelplan left behind
キャンプ、ロッキーの料理	Camp, and Rocky's cooking
母からの手紙、スシヌの事	A letter from mother, about Sushinu
ゼスの首都に到着	They reach Zeth's capital
マジック女王と謁見	An audience with Queen Magic
スシヌが引きこもった	Sushinu shuts herself away
スシヌの部屋	Sushinu's room
マジックが話しかけるが無駄	Magic tries talking; no use
スシヌの側にはパセリが居る	Parsley stays at her side
ゼス城　翌日	Zeth Castle, the next day
スシヌは置き手紙を残して家出	Sushinu leaves a note and runs
スシヌを追いかける事にする	They set off after her
ゼス城　スシヌの部屋	Zeth Castle, Sushinu's room
水晶内に人工迷宮がある	An artificial maze inside a crystal
そこに侵入する	They go in
水晶内の迷宮	The maze in the crystal
スシヌが作った迷宮	Sushinu built it herself
その頃、スシヌ	Meanwhile, Sushinu
パセリの説得も聞かない	She will not hear Parsley out
スシヌを発見	They find Sushinu
ザンスを見て逃げ出す	She sees Zance and bolts
ザンスから逃げるスシヌ	Sushinu runs from Zance
魔法障壁を作りだす	and throws up a magic barrier
スシヌが怖がっている	Sushinu is frightened
リセットと主人公で近寄る	Reset and the protagonist approach
主人公がスシヌと会話	The protagonist talks to her
転んでキス	A stumble, and a kiss
スシヌが仲間に加わった	Sushinu joins the party
ザンスとスシヌ仲直り	Zance and Sushinu make up
ゼス城	Zeth Castle
城から出た事がないスシヌ	Sushinu has never left the castle
いろいろあって出発	After some fuss, they set out
ゼス平原　キャンプ中	The Zeth plain, at camp
守護霊パセリがみんなの前に出る	Guardian spirit Parsley shows herself
恋愛話で煽る	and stirs up talk of romance
ゼス平原　キャンプ	The Zeth plain, camp
エールの事が気になるスシヌ	Sushinu has El on her mind
スシヌとザンス	Sushinu and Zance
マジノライン	The Maginot Line
ここから魔物界に入る	From here into the demon world
魔物界	The demon world
修業している元就と会う	They find Motonari training
母からの手紙、元就の事	A letter from mother, about Motonari
彼も同行する事になる	and he comes along too
元就とナギ	Motonari and Nagi
東ヘルマンの魔王討伐隊が現れる	East Helman's Demon King hunters
戦闘をしかけてくる	and start a fight
パワジオンセン迷宮に入る	They enter the Pawajionsen maze
パワジオンセン迷宮	The Pawajionsen maze
ある境界から裸になる	Past a line, clothes come off
別の道を進む事にした	They take another route
裸になるエリアは広がってくる	The naked zone keeps growing
裸族王バファムーン参上	Naked Tribe King Bafamoon arrives
入り口に戻ってしまった	They end up back at the entrance
裸で進むメンバーは	Going in naked:
男達とスシヌ、ウズメ、ミックス	the men, Sushinu, Uzume, Mix
パワジオンセン 裸エリア	Pawajionsen, the naked zone
裸になって慎重に進む	Stripped, they move carefully
途中で休憩　その１	A rest along the way - 1
途中で休憩　その２	A rest along the way - 2
土のオーブを拾う	They pick up the earth orb
裸事件を止める為にさらに進む	On, to end the naked business
バファムーンと戦う	They fight Bafamoon
バファムーンを倒した	Bafamoon is beaten
裸で進むメンバーは女達	Going in naked: the women
迷宮を出た	They leave the maze
バファムーンと会話	A talk with Bafamoon
遠くで主人公達を見つめる母親達	The mothers watch from afar
西ヘルマンに着いた	They reach West Helman
西ヘルマンの街道	The West Helman road
母からの手紙、レリコフの事	A letter from mother, about Lelikov
首都ラングバウに到着	They reach the capital, Rangbau
シーラ大統領と会う	They meet President Sheila
レリコフは先にオーブを	Lelikov has already gone
取りに行った	to fetch the orb
キャンプ	Camp
ヘルマンは寒い	Helman is cold
作戦会議、目的を再確認	A council; the goal restated
氷雪地帯	The icy wastes
超高級売春宿に立ち寄る	A stop at a top-class brothel
シベリア	Siberia
ヒーローが駆け抜けていく	Hero races past
追いかける	They give chase
レリコフとヒーローに遭遇	They meet Lelikov and Hero
兄弟の再会、挨拶	Siblings meet again, greetings
競争だーと走りさっていく	Race you! - and off he runs
レリコフに追いつけない	Lelikov cannot be caught
その頃、レリコフ	Meanwhile, Lelikov
楽しい	Having fun
ヒーローと仲良し	Getting on well with Hero
２体の冬将軍が現れる	Two Winter Generals appear
片方に攻撃をかけます	They strike at one of them
冬将軍を倒すが	The Winter General falls, but
地面が崩れて主人公が落ちる	the ground gives way underfoot
氷雪洞窟	An ice cave
洞窟に落ちた主人公	The protagonist fell into a cave
一人っきりで遭難	Stranded, all alone
※処理　主人公一人	※Handling: protagonist alone
レリコフと合流	Lelikov turns up
二人で脱出を目指す	The two head for the way out
二人で会話しながら進む	They walk and talk
仲良くなる	and grow close
疲れたのでキャンプ	Tired, they make camp
二人で毛布	One blanket for two
１５年前、クエルプラン	Fifteen years ago, Quelplan
ついランスを探してしまう	She cannot help looking for Rance
心が不安定なクエルプラン	Quelplan's heart is unsteady
二人で励まし合い耐える	They keep each other going
仲間が助けに来てくれた	and the party comes for them
医療テントの中	Inside the medical tent
回復していく二人	The two are mending
仲間のお見舞い	Visits from the party
テラから水のオーブを受け取る	Terra hands over the water orb
奥でジャハルッカスが暴れている	Jhahlckas rampages deeper in
アームズが退治に向かっている	Arms has gone to deal with it
ジャハルッカスｖｓアームズ	Jhahlckas vs Arms
アームズが敗北する	Arms is beaten
主人公が続いて戦う	The protagonist fights next
ジャハルッカスを倒す	Jhahlckas is put down
アームズは礼がしたい	Arms wants to thank them
シーウィードに行こうと誘う	and invites them to Sieweed
超高級売春宿シーウィード	Sieweed, the top-class brothel
到着する	They arrive
酒場で話	Talk in the bar
ザンス、長田君と男達の冒険	Zance, Nagata-kun and the men
長田君が選ぶのを待っていると	While Nagata-kun makes his pick
レリコフに見つかり連れ出される	Lelikov finds them and hauls them out
女の子達の座談	The girls sit and talk
レリコフと逃げる	and slip away with Lelikov
アームズと日光を見かける	They spot Arms and Nikkou
日光の儀式を覗き見	Peeking at Nikkou's rite
二人だけの秘密にしよう	Let it stay their secret
シーウィード　酒場	Sieweed, the bar
仲間と話	Talk with the party
日光が復活して戻って来た	Nikkou is restored and returns
主人公が日光のオーナーになる	The protagonist becomes her owner
そしてリーザスに着いた	and they reach Leazas
休憩中の出来事	During a rest stop
リセットと話	A talk with Reset
ザンスについての情報	What is known about Zance
母からの手紙、ザンスの事	A letter from mother, about Zance
東ヘルマンの説明	East Helman explained
魔王の子は殺す、襲ってきます	Kill the King's children - they attack
捨て台詞を残し	A parting shot
魔王討伐隊は立ち去る	and the hunters withdraw
このままではいけない	This cannot go on
説得する為に追いかける	They chase them down to talk
逃げる魔王討伐隊	The hunters run
しんがりとしてウズメが残る	Uzume stays behind as rearguard
魔王の子ウズメと分かる	Uzume is the King's child
主人公の神魔法で記憶を戻す	Divine magic gives her memory back
ウズメが仲間になる	Uzume joins the party
リーザス首都に到着	They reach the Leazas capital
主人公がリーダーとなる	The protagonist takes the lead
リア女王と謁見	An audience with Queen Lia
母からの手紙を渡す	Mother's letter is handed over
ザンスが登場	Zance turns up
※主人公性別 内容若干変化	※Varies by protagonist's sex
その夜、リーザス城内の客室	That night, a Leazas guest room
ザンスが現れ	Zance shows up
酒飲み大会	A drinking contest
俺の女になれ宣言	Be my woman, he declares
ザンスと長田君の会話	Zance and Nagata-kun talk
魔王の子供達、才能限界値無し	The King's children have no talent cap
オーブはスケールの街にある	The orb is in the town of Scale
村人が魔獣退治を直訴している	Villagers beg for a beast to be slain
廃墟となったスケール	Scale lies in ruins
戦争終結を認めない魔軍が	A Monster Army that denies the war
立て籠もっている	has ended is holed up there
スケール内を探索中	Searching through Scale
ザンスとリーダー権	Zance and who leads
その頃、魔軍	Meanwhile, the Monster Army
魔物将軍ダルソンの様子	Monster General Darson
ザンスのエロ自慢	Zance brags about his conquests
ザンスが一人で偵察中	Zance scouts alone
魔物兵を倒したが…	He downs a monster soldier, but...
※要ウズメ 内容若干変化	※Needs Uzume - slight changes
ザンスが女魔物兵にドキドキ	A female monster soldier flusters him
童貞という事がバレる	His virginity comes out
スケール内を探索	Exploring Scale
魔軍と遭遇	They run into the Monster Army
ザンスが先陣きって突破する	Zance leads the way through
魔物将軍ダルソンと接触	They reach General Darson
リセットが説得を試みるが失敗	Reset tries to talk him round
戦争の終わりを認めない魔物将軍	The general will not accept the end
リセットがビンタで直す	so Reset slaps him straight
火のオーブを手に入れた	They gain the fire orb
魔軍残党をザンスが部下にする	Zance takes the remnants as his own
リーザス　街道	Leazas, the road
次の目的地はＪＡＰＡＮ	JAPAN comes next
ザンスが単独で寄り道しようとする	Zance means to slip off alone
ガゴ村	Gago village
魔獣と戦う	They fight the beast
魔王ランスと魔人達	Demon King Rance and the Fiends
自由都市に入った	They enter the Free Cities
大軍で戦闘をしかけてくる	They attack in force
撃退する、そして治療する	Beaten back, then treated
タイガー将軍と話	A talk with Tiger General
街道を進む	On along the road
冒険は順調に進んでいる	The journey is going well
あと少しだ	Not much further
Ｍランドに到着	They reach M-Land
コパンドンと会う	They meet Copandon
オーブは闘神都市と聞く	The orb is in the Fighting God City
Ｍランド　ホテル	M-Land, the hotel
魔剣カオス、オーブを手に入れる為	For the sword Chaos and the orb
闘神大会に出る事にした	they enter the Fighting God tourney
闘神都市に到着	They reach the Fighting God City
シュリさんにルールを聞く	Shuri explains the rules
リセットをパートナーに	Reset as partner
大会出場を登録	They sign up for the tournament
仲間達も出場する	The party enters too
ザンス、乱義、レリコフ	Zance, Rangi, Lelikov
ヒーロー、長田君	Hero, Nagata-kun
※処理　主人公単独行動	※Handling: protagonist acts alone
試練迷宮	The Trial Labyrinth
予選開始	The qualifiers begin
いろいろなライバルと会う	They meet all sorts of rivals
ドギと会う	They meet Dogi
アームズ、アレキサンダー	Arms, Alexander
デカントの群れと接触	and a pack of Decants
予選迷宮	The qualifier maze
無事に突破、合格	Through safely; they pass
ケイブリスと会う	They meet Kayblis
宿屋に泊まる	A night at the inn
トーナメント組み合わせを見る	They look at the bracket
宿屋	The inn
闘神ダイジェストを視聴	Watching the tournament digest
コロシアム	The colosseum
最初の相手はレリコフ	First up: Lelikov
レリコフを倒す	Lelikov goes down
戦いの後の握手、晴れやか	A handshake after, all clear
コロシアム控え室	The colosseum waiting room
レリコフと話	A talk with Lelikov
主人公、乱義の勝利	The protagonist and Rangi win
長田君の敗北	Nagata-kun loses
街中で情報収集をする	Gathering word around town
ミラクルとミックス	Miracle and Mix
ブロビオが喧嘩を売ってくる	Brobio picks a fight
毒対策が必要だ	Something for the poison is needed
酒場	The bar
アームズと話	A talk with Arms
一緒に冒険して毒対策を得る	A run together earns poison gear
相手はブロビオ	The opponent is Brobio
ブロビオを倒した	Brobio goes down
奴隷の女の子を助ける	A slave girl is saved
ブロビオに敗北した…	Brobio wins...
リセットは酷い目にあった	Reset is put through hell
主人公は酷い目にあった	The protagonist is put through hell
ヒーローの敗北	Hero loses
アームズに日光を返す	Nikkou is returned to Arms
ザンスの勝利	Zance wins
酒場で作戦会議	A council in the bar
対アームズ対策	How to handle Arms
ザンスと乱義の話	Zance and Rangi talk
相手はアームズ	The opponent is Arms
アームズを倒した	Arms goes down
アームズとの話	Words with Arms
祝福される	and his blessing
主人公の勝利	The protagonist wins
乱義の敗北	Rangi loses
ザンスの敗北	Zance loses
呪いをかけられた乱義とナギ	Rangi and Nagi are cursed
魔女リクチェルが現れる	The witch Richelle appears
夜道	The night road
リクチェルと出会う、怖い	They meet Richelle - frightening
シュリさんと話	A talk with Shuri
相手は魔女リクチェル	The opponent is the witch Richelle
リクチェルを倒した	Richelle goes down
乱義、ナギの呪いを解かせる	and lifts the curse on the two
１０年前、クエルプラン	Ten years ago, Quelplan
思い悩んでいる	lost in her worries
そして悪魔にそそのかされる	and then a demon tempts her
木のオーブを取る	They take the wood orb
主人公がカオスを取る	The protagonist takes Chaos
アレキサンダーが挨拶に現れる	Alexander comes to say hello
決勝の前日、お祭り	The night before the final, a fete
アームズが仲間になる	Arms joins the party
いろいろな人と会う	They meet all sorts of people
酔っ払いリセット	Reset, drunk
カオス、日光の二刀流で挑む	Two blades: Chaos and Nikkou
決勝、相手はアレキサンダー	The final, against Alexander
アレキサンダーに勝つ	Alexander is beaten
アレキサンダーに負ける	Alexander wins
街道	The road
オーブも仲間も揃った	Orbs and companions, all gathered
準備は完了した	Everything is ready
長田君達とキャンプ	Camp with Nagata-kun and the rest
リセットを仲間にする為に	To bring Reset into the party
砂漠のシャングリラへ向かう	they head for desert Shangri-La
破壊された町	A ruined town
大怪獣クエルプランの説明	The giant Quelplan explained
ボス級を倒して調子に乗る	A boss falls; heads swell
目標変更、すぐに魔王ランスを倒す	New plan: kill Demon King Rance now
翔竜山を目指す	They head for Mount Shoryu
翔竜山の説明	Mount Shoryu explained
昔は登山で賑わっていた	Once it was busy with climbers
今は魔王の直轄地、魔物がうろつく	Now the King's land, full of monsters
翔竜山	Mount Shoryu
ロッキーによる説明	Rocky explains
魔王ランスの事	About Demon King Rance
翔竜山　洞窟の中	Mount Shoryu, inside a cave
勇者ゲイマルクとコーラ	The hero Geimark and Cola
怖いので近づかない	Too frightening; they keep away
アームズがドラゴンと戦闘中	Arms is fighting a dragon
仕留め損なったドラゴンが	The dragon slips away from him
こちらに向かってきた	and comes at them
アームズが同行する	Arms comes along
翔竜山　巨大な門	Mount Shoryu, the huge gate
オーブが無ければ通れない	No orbs, no passage
迂回路を捜す	They look for a way round
戯骸とシーザーが戦っている	Gigai and Caesar are fighting
魔王を倒す武器が無い事に気が付く	They have no weapon to kill a King
が、アームズが日光を持っていた	but Arms is carrying Nikkou
魔人ＤＤが現れるがサテラが撃退	Fiend DD appears; Satella sees him off
魔人サテラと戦闘	A fight with Fiend Satella
サテラに負ける	Satella wins
魔王ランスが現れる	Demon King Rance appears
手も足も出なかった	Nothing they did mattered
翔竜山　下山中	Mount Shoryu, on the way down
今の自分達では勝てない	As they are, they cannot win
仲間集め、オーブ集めをしよう	Gather companions, gather orbs
※処理　アームズが抜ける	※Handling: Arms leaves
キャンプ中	At camp
鬼畜戦争の話	Talk of the Brutal War
魔王ランスを倒しに向かう	Off to bring down Demon King Rance
翔竜山に到着	They reach Mount Shoryu
その頃、母親達	Meanwhile, the mothers
木箱を持って	carrying a wooden crate
後ろから着いていく	they follow along behind
目標の再確認	The goal restated
ランスを戻す＝殺したい者も居る	Some want Rance back, some dead
一致団結した目標になっていない	They are not of one mind
魔物達を倒して進む	They cut through the monsters
タイガー将軍が魔獣化	Tiger General turns beast
タイガー将軍は立ち去った	Tiger General walks away
翔竜山　大門	Mount Shoryu, the great gate
オーブを嵌め込むと門が消えた	The orbs set in, the gate vanishes
先に進めます	The way is open
腐った勇者ゲイマルク	The rotted hero Geimark
苦しむ死ねない勇者	A hero in agony who cannot die
救うか救わないか…	To save him or not...
その頃、魔王ランス	Meanwhile, Demon King Rance
主人公達の侵入を知り	He learns of the intruders
サテラ他が迎撃に出撃	and sends Satella out to meet them
元マエリータ隊が現れる	The old Maelita Squad appears
が、撃破する	but they are beaten
魔人ハウゼルが現れる	Fiend Hawzel appears
魔人ハウゼルを倒し	Fiend Hawzel is beaten
先に進む	and they push on
魔人ＤＤが現れる	Fiend DD appears
魔人ＤＤを倒した	Fiend DD is beaten
ハニー達を倒して進む	They cut through the Hannys
ドラゴンを倒して進む	They cut through the dragons
魔物、ドラゴン、多数と戦う	Monsters, dragons, no end of them
だいぶ疲れが溜まってきた	The tiredness is piling up
魔人サテラが現れた	Fiend Satella appears
サテラにリセットを掠われる	Satella carries Reset off
そこにサテラが落ちてきた	Satella drops in on them
サテラは木箱に気が付き持ち去る	She spots the crate and takes it
リセットを失い	Reset is gone
連戦で疲労も溜まっている	and the fighting has worn them down
ギスギスした状態になりかける	Tempers begin to fray
魔物の群れを倒して進む	They cut through a monster horde
魔軍を倒して進む	They cut through the Monster Army
魔人サイゼルと戦闘	A fight with Fiend Seizel
なんとか勝つ	They just manage to win
こちらも揉め始める	They start bickering too
魔人レイが現れる	Fiend Lei appears
アームズがその場に残り戦う	Arms stays behind to fight
夕方になった	Evening comes
その頃、サテラの部屋	Meanwhile, Satella's room
リセットとサテラ	Reset and Satella
魔人リズナが現れる	Fiend Rizna appears
エロパワーでみんな倒される	Her erotic power lays them all out
ハニーが魔王の元に主人公達を運ぶ	Hannys carry them to the King
数年前、クエルプラン	A few years ago, Quelplan
そして神は人間になった	and the god became human
魔王の部屋	The Demon King's room
眠りから覚めた主人公達	They wake from their sleep
ここから脱出する	and set about escaping
魔王ランスに勝てない	Demon King Rance cannot be beaten
志津香とナギが犠牲になり	Shizuka and Nagi give themselves up
みんなを逃がす	to let the rest get away
逃げるエール達	El and the rest run
アームズと合流	They meet up with Arms
ここで気力が尽きる	and their strength gives out
最悪の状況になってきた	Things are as bad as they get
箱の奪還に失敗	The crate was not recovered
子供達も失敗したみたい	and the children failed too
不思議な場所	A strange place
自分が消えて行きそう	Something in them is fading away
ダークランスが助けに現れた	Dark Rance comes to the rescue
三度、戻ってきた	Back a third time
食事も済んで出発	A meal, then off they go
魔人ＤＤと接触	They reach Fiend DD
魔人ハウゼルと接触	They reach Fiend Hawzel
魔人サイゼルと接触	They reach Fiend Seizel
魔人レイを倒した	Fiend Lei is beaten
ワンニャンがびびる	Wan-nyan take fright
少量算	A small tally
魔人リズナと接触	They reach Fiend Rizna
魔人リズナを倒した	Fiend Rizna is beaten
魔人シルキィと接触	They reach Fiend Silky
魔人シルキィを倒した	Fiend Silky is beaten
魔人ホーネットと接触	They reach Fiend Hornet
魔人ホーネットを倒した	Fiend Hornet is beaten
彫像を眺めている魔王ランス	Demon King Rance eyes a statue
主人公の侵入報告が来る	Word comes of the intruders
マエリータ隊を倒す	The Maelita Squad is beaten
アメージング城に入る	They enter Amazing Castle
魔人サテラと接触	They reach Fiend Satella
ビスケッタさんと接触	They reach Biscuitta
ビスケッタさんのサービス	Biscuitta's service
ビスケッタさんを倒した	Biscuitta is beaten
魔王ランスと接触	They reach Demon King Rance
リセットのビンタが成功	Reset's slap lands
ランスが正気に戻った	and Rance comes to his senses
魔王ランスとても勝てない	Demon King Rance is far too strong
追い詰めらていく	They are driven back
魔王ランスｖｓ主人公	Demon King Rance vs the protagonist
ランスが彫像を見てスキ発生	The statue distracts him - an opening
氷柱シィルがそこにある	Sill stands there in ice
魔王の力で氷を溶かす	The King's power melts it
シィルが蘇った	and Sill comes back
リセット近況	Reset, of late
年表ＲＡ０−１５	Timeline RA 0-15
クルックーの家	Crook's house
主人公が旅立ちます	The protagonist sets out
行き倒れのハニー	A Hanny collapsed on the road
長田君を仲間にします	Nagata-kun joins the party
長田君と話	A talk with Nagata-kun
主人公の目的を長田君が聞く	Nagata-kun asks what the goal is
魔王を退治に行く	To go and slay the Demon King
同じ魔王の子、兄弟を集る	and gather the King's other children
主人公がレベル神を呼び出す	The protagonist calls a Level God
主人公は法王と魔王の子	Child of the Pope and the Demon King
処刑されかけている大男二人	Two big men about to be executed
ドッスとワッス	Doss and Wass
ドッスワッスを助ける	They save Doss and Wass
仲間にする	and take them along
ドッスワッスを見捨てる	They leave Doss and Wass to it
ドッスワッスを殺す	They kill Doss and Wass
トト村	Toto Village
山賊に略奪されている	Bandits have been looting it
村長の家に泊まる	A night at the chief's house
山賊退治をする事になった	They take on the bandits
翌朝、出発前	Next morning, before setting off
山賊頭は魔王ランスの子と分かる	The bandit boss is Rance's child
当然行く	Of course they go
魔王ランスの事は忘れ	They forget Demon King Rance
長田君と楽しく過ごした	and have a fine time with Nagata-kun
めでたし、めでたし	The end, happily
山賊アジトの入り口	The bandit hideout entrance
見張りの山賊と戦う	A fight with the lookouts
山賊のアジトに入る	They get into the hideout
その頃、ランスＪｒ	Meanwhile, Rance Jr.
捉えた女達を犯している	raping the women he has taken
